2026-05-06 21:14:22 LOGIN SUCCESS | IP: 127.0.0.1 | BROWSER: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
2026-05-06 21:15:19 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:44 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:44 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:44 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:44 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:44 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:44 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:45 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:45 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:46 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:46 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:46 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:46 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:46 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:46 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:54 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:54 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:55 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:55 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:55 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:55 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:55 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:55 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:56 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:56 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:56 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:56 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:57 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:57 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:57 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:57 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:57 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:57 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:58 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:58 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:58 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:58 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:15:59 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:15:59 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:16:00 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:16:00 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:16:02 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:16:02 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:16:03 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:16:03 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:16:03 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:16:03 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:16:03 FAILED LOGIN | IP: 87.196.72.161
2026-05-06 21:16:03 🚨 BRUTE FORCE ALERT | IP: 127.0.0.1
2026-05-06 21:17:29 LOGIN SUCCESS | IP: 127.0.0.1 | BROWSER: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
2026-05-06 21:18:04 LOGIN SUCCESS | IP: 10.0.0.71 | BROWSER: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
2026-05-06 21:29:01 FAILED LOGIN | IP: 10.0.0.88
2026-05-06 21:29:01 🚨 BRUTE FORCE ALERT | IP: 10.0.0.88
2026-05-06 23:04:34 LOGIN SUCCESS | IP: 127.0.0.1 | BROWSER: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
2026-05-06 23:11:00 LOGIN SUCCESS | IP: 127.0.0.1 | BROWSER: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36
[2026-05-06 23:15:32] COMMAND: cpu
[2026-05-06 23:16:04] COMMAND: ram
[2026-05-06 23:16:10] COMMAND: memory
